"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
1902,26.9386935153273,39.5076654941762,22.3982441869616,31.8421129222085,19.4941493898813,23.5322873802079,26.0524154236641,19.6440367071156,20.8301131534253,22.7587590599843,21.9991914026501,28.6499070761343,25.1875688534332,19.8438256326692,23.1690305270696,20.3106789423147,24.1892101516767,25.3599496613666,25.052903699947,27.3404467943587,20.1479103774137,45.5355024162644,33.9262808482791
1903,30.5249460040204,44.2711353167102,42.0860162701622,49.5493491679213,46.0780531415122,28.6868481558662,23.0377675424551,26.361057257517,19.7215025845825,35.3295089785178,38.4592607934333,31.2738142939364,64.3573514854912,29.3430453979174,28.53079432968,39.7981525580162,24.951059003907,27.1413147492022,33.0535950192304,29.6451789171217,32.326424490858,38.6061098575435,40.9156561099561
1904,19.1654527418297,32.7848924251533,26.4429435391542,33.7931017557106,19.2216908516497,22.021212687322,18.0470521274848,18.6333778960901,12.8731223482986,19.1016961977554,27.1569035519559,21.6216618394943,28.3107280437901,27.3112605149008,25.8564164718108,23.870356143547,17.8844410860498,34.4354318548833,17.4456349903657,21.5981474074861,19.1407119814987,29.1974972785541,27.4790108457773
1905,14.8403424590599,26.8502110725864,18.9584079266671,19.9317746811193,28.8287958323734,20.5715039593334,46.0044977359775,25.3236449133238,32.7573611071455,26.5349451570006,24.4097428648608,22.6247036928068,23.3545971340673,22.5352228198587,18.6563787040218,18.1339110404143,43.0741552897902,24.4998880767214,31.0252696702751,21.1266394691315,14.8039248659059,32.2054908941845,26.1691888065717
1906,30.0049794833727,53.8449379956951,28.4673991743978,35.5354077011457,29.7502829230762,20.1334352133369,19.6196855187385,52.8589037935249,16.2054224396557,33.3819637664453,19.4306063108121,23.1174351881682,43.3538753483902,22.5079076137848,21.8459142776947,24.2511190672044,22.6463550943578,25.2632080195395,31.6640641865181,36.8453562663253,26.9576104002671,50.0830876861454,34.881813978975
1907,14.0666386981785,40.797681171444,47.6492999393725,34.0995768680234,56.8621433405241,29.5129870957433,20.6813172442072,32.8511703696131,16.1148968223509,25.6519052598159,24.6642449951712,17.9563957595122,21.6763690366755,26.9754701247981,30.3287014453261,28.7938534855119,19.4352266607128,27.1559596894953,41.393372909951,15.3491175746331,31.4420795503937,40.7207815644095,29.5131774146392
1908,14.8316581105997,34.7889065197334,38.9504749587573,23.3596285401155,30.0144978666653,15.5380336445558,28.1205774191369,30.6705804708155,19.8880685744163,42.2222086209488,23.0825302345073,26.3442074877416,23.8281300390496,28.6521247338716,25.9230341345303,33.4182881907233,26.313777153873,24.2237724199928,32.5800829716126,25.3431801281469,41.37181641021,47.568942574655,34.7161208600608
1909,19.85430498618,50.0315090332967,27.4404307567923,22.9003468202598,28.621527403038,22.8873734349563,23.0529721853859,25.530973322073,16.9160728187405,28.6066082578082,27.3591599239147,33.9740778987411,22.4130496164525,25.4930712891059,26.1652482027223,36.610400979406,43.5908226061763,27.9504188600875,40.228568994722,21.0273155166526,32.1377432056345,36.0783415982489,39.8369524750522
1910,17.7379449986813,69.1596136915637,54.6936163898632,36.0325671297858,34.5285298901635,22.266036259832,28.0010611511965,27.5310497195246,20.6328033879522,48.8493777844565,35.5985247395221,44.2930423929441,27.021856424591,39.1186987960541,28.5446213417213,41.1711487259965,26.7763584149924,31.5529252171357,49.9997079626188,16.6900703691697,30.5284419865634,41.2885533318576,32.5944252195847
1911,24.7240725012615,48.6921332887182,48.6349242294986,40.8623626644095,28.4287595062311,27.9577105592681,15.2769123107011,37.1607943446503,26.7586468472925,33.4141378237431,31.9875042238139,25.7667993912634,48.9199597077601,21.5757183988374,18.5455746359003,48.2169481753904,29.3626275176902,24.2276517743684,23.7762160367717,18.3463290572035,44.5497558222228,27.7396905058064,29.8094824858683
1912,56.3139824590857,54.6958806380414,40.7143575280585,36.7353003594667,31.6209019978499,22.7318563426072,37.7976936780137,31.2490156705058,32.710297464294,29.7948911717934,34.9729583365543,31.4713618567695,20.2571803482364,28.2755992232087,23.0610958774004,29.7345792956686,38.8233134801885,30.7325138477778,51.0122205460966,27.3197850267537,36.2407037948392,42.2414017551736,36.0279211069255
1913,20.3961628675243,45.2888926732064,27.1253752956159,27.3336918892098,23.6022458774061,23.148129110869,36.1420838131532,27.5932675506223,30.6437642627771,20.1600830133933,21.5878632574797,23.0781364300659,26.5947218769583,22.3232664090664,24.3458148601742,22.9226381878174,22.4361074581883,27.3920674898847,31.5898245591728,15.4708039375615,21.969593752811,34.1710215906008,35.9031679250181
1914,17.9435622811948,44.4677266115501,24.8356534876528,25.1611828397001,33.5219725825751,25.6255473458498,19.0572110920714,42.7884787715173,17.7142851716448,39.8104853148407,29.5791896929411,24.2029118738306,32.7347423104478,21.4654413050829,25.313294584048,27.208743002101,21.5155791897663,36.4457877580602,27.3355970338646,15.7278496606674,23.0989464250593,38.1792010555725,23.207864666777
1915,30.1399050398431,41.2953127457349,37.3694093059905,38.5178819199922,31.0976170714423,34.0909611964314,22.6427226448419,52.4786692895307,34.5240120907378,69.2250444833268,28.4955288833272,24.1243225262972,27.0409938290056,25.572271133079,30.2212202184593,41.489055273973,36.3915700774752,34.2671288682312,44.8034588994536,30.0975872432666,26.5742465345282,59.8083291995002,32.5368288362041
1916,30.8813315818165,54.0698774567579,35.7206828581171,25.9354552465252,60.0597756027303,23.7211061626513,24.9211790903252,35.4971387009051,28.2332716055046,37.8273076638661,23.9872319916885,28.7866779952986,27.7615566709682,28.3577104934702,23.0450214282491,35.8293865389881,20.9666169436186,43.5054853994415,78.3854685949154,24.8091767552751,45.5389316237213,64.3625795367169,32.2309869327887
1917,29.08215886062,52.5144791101905,34.8030454763134,28.0893451130595,30.6990504153918,25.0891592488108,27.655675199716,40.9222479122502,38.2349722404409,37.0559588865195,26.8870282664476,37.0535583311093,20.2755065916329,29.5978218134165,25.193145776647,31.2617555413589,44.2365349765186,49.268590385665,41.5962411943694,30.1547328403364,28.3826526399205,49.2562606368692,38.0891537088007
1918,27.9413097378304,44.3932049489107,32.8589108910918,31.1125822422302,30.9842616284068,18.3482640096628,33.1992983292439,28.4929689102593,39.1137735192695,29.472029532472,41.690786637309,30.792484197717,37.9614601783662,31.7970045864389,24.9204952570559,54.1121525357963,35.3353450948701,33.0184062174127,35.5023564975557,29.6386799786693,49.2912180185611,30.6421028873004,30.2582715389131
1919,18.72791088295,39.7828833102555,46.0992922976167,35.4817249613439,24.9095344245929,21.7572447187287,23.1817631479631,32.6448460620499,28.1800741060941,40.9958133566703,31.0029569137782,25.4020553938617,28.0028604290128,24.783299382197,20.875404816607,27.9453274910358,21.4113141023852,25.3637659961147,26.2740921149599,22.3579969587,35.1534882211138,29.4828526437348,35.3913041413514
1920,15.1931075103067,54.9547552932245,56.754627838698,36.1388190933297,71.0640276986702,23.1224227861694,34.9899301532507,29.1410566141061,32.4234073297007,40.9375397895467,27.6547690497566,37.7041634662866,21.9116790687806,21.9374593463635,20.2780388172394,34.3171093484461,23.8892680097312,28.5730294728978,47.5329428757137,22.2407624804087,48.7379703808082,47.7103944068977,34.2539300337821
1921,17.1889549269266,33.9806487719595,22.1940147237919,41.1054069497234,23.8161990639284,18.4397539337922,25.7777925092803,27.55076018968,37.7008133173571,33.700231741361,26.2115611963632,33.3817408130707,33.9513604862383,17.3661940810698,17.3108312813603,31.6591564639985,16.7849623178462,19.7225969697737,26.2098903545614,28.2692513953308,32.1925491170795,40.638853946876,30.9554104851653
1922,23.5312954138584,60.2294506711226,37.9140854008885,24.3694843383299,32.2574386473038,35.936612271293,19.6990571091502,20.9745146989796,24.9051029600978,37.3198727322468,30.3577399073268,26.8127353904796,28.0236109510859,21.9056331984099,32.7643361880861,33.474670949272,36.7301436566792,31.2219085741681,30.9608513657748,31.5781915194148,24.9368489169882,41.4764078916963,31.1335866430254
1923,18.2222151519392,39.3511664860905,34.8200757394011,25.9498735052932,30.7820916673006,27.4955510239109,21.0714128426792,34.7199195742125,28.0375498603998,27.689920876301,30.7766047990812,23.5604038205662,33.1148574567792,27.5207073823786,26.8514229053238,38.8450168909917,25.7091745120141,35.7673272096924,29.7557453709825,20.7881406097278,36.4903090902015,29.0752601459688,42.5781054915201
1924,29.218214588415,39.3641958808222,23.3784256694956,53.696312944808,23.8302375449594,26.2506348172936,27.0423075401526,40.976433784459,26.5492932354748,54.5011961856652,30.9620865781346,24.542857667464,50.5419106466353,29.1794341927002,39.9676307541504,27.3242528289838,30.3189976857133,36.9974787028476,38.8134347167303,22.8803080524476,29.8729388577322,46.2272805854769,23.0787844539037
1925,18.3226169721895,48.8018283285563,35.1986323474697,24.3550504139169,32.624064501206,22.8074273553335,25.2130439934069,22.9845483789749,24.9939181232644,23.9903384544107,23.2414245118484,22.6538933897953,22.1473335478182,20.0752000642838,28.9340855999543,39.9556772615813,25.9161178042158,31.0822365905954,26.97480231485,28.0416363416022,50.4968696429161,35.8997917295926,26.2051708698862
1926,18.3905947821024,43.5623736559293,31.8710449639276,49.4803339537626,28.9581969286507,16.9795540340245,22.3821521750399,28.6983382315268,32.7073215492073,26.799869353887,27.3218607267274,24.3692979126101,30.8203880154317,20.0547668518632,28.4460650178681,41.6305934672373,32.5935271061124,35.2127074109644,31.5912947579223,20.3411881772503,44.8424118402262,44.6665730111803,45.4362133662311
