"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
2021,32.4488182067871,40.1652374267578,31.8536014556885,33.3434944152832,46.4396934509277,29.8340301513672,41.2069931030273,39.2353515625,40.8483085632324,29.7854309082031,40.9874229431152,27.9544544219971,25.0785579681396,34.9546585083008,35.6244125366211,31.7255401611328,25.1717987060547,30.4905014038086,46.0770835876465,31.3697853088379,27.0736904144287,35.0935134887695,38.5090065002441
2022,22.0925388336182,42.56689453125,38.1274490356445,45.638744354248,33.0993766784668,33.9061813354492,54.5523681640625,36.4634780883789,53.8915519714355,45.9889717102051,28.8225383758545,71.8511047363281,35.979793548584,31.3296966552734,34.5213851928711,37.0683479309082,35.254222869873,27.4673004150391,39.6110534667969,29.0618495941162,60.6275939941406,33.6571655273438,43.9364738464355
2023,23.4565181732178,45.3743133544922,35.0574035644531,30.8624534606934,38.5950317382812,27.3519763946533,40.0481834411621,30.1198215484619,38.3508377075195,28.9185810089111,37.6933135986328,39.3321342468262,46.1290740966797,26.2777767181396,31.0256614685059,45.5163993835449,37.1111717224121,26.6921501159668,41.495906829834,24.9610137939453,39.6952896118164,31.2310924530029,36.2947998046875
2024,15.5569829940796,44.935131072998,58.0568618774414,30.4594554901123,63.3522300720215,31.0827388763428,34.3307342529297,42.7899971008301,46.7894668579102,48.5932960510254,32.0978507995605,37.0244483947754,27.5071601867676,38.6576919555664,26.4257946014404,43.1118659973145,24.4682846069336,32.0426559448242,49.5547561645508,19.4160022735596,61.2455444335938,42.3199081420898,30.6574363708496
2025,17.8622035980225,56.1899375915527,43.1570091247559,53.6772613525391,33.0501480102539,24.2391185760498,34.2548370361328,27.6481552124023,38.0139465332031,34.9360885620117,44.5999298095703,34.1585845947266,23.8619480133057,31.3568325042725,27.3665733337402,45.288875579834,25.278491973877,38.6697120666504,40.3433227539062,18.0882968902588,20.9714336395264,56.0897941589355,69.3158721923828
2026,21.2005805969238,42.4689483642578,53.1063232421875,43.5585403442383,43.5336303710938,25.600191116333,39.9389457702637,46.6658363342285,45.7272186279297,65.7506103515625,35.9560203552246,47.2041053771973,28.9326248168945,35.7429122924805,30.6533470153809,38.1361351013184,30.4103870391846,32.872688293457,40.2314720153809,25.2989692687988,44.0264129638672,43.611644744873,46.2358283996582
2027,29.6016654968262,47.3899879455566,40.4770393371582,40.8157920837402,41.5050888061523,28.2646465301514,37.2781867980957,37.1913375854492,55.3568344116211,27.8151226043701,48.042423248291,35.3373527526855,43.1953659057617,32.6050758361816,30.9230461120605,50.8268699645996,31.1599807739258,52.7185859680176,35.251895904541,24.5105819702148,51.8618583679199,47.9821624755859,51.5552406311035
2028,21.1687068939209,41.9333648681641,38.3467597961426,44.9848670959473,32.5844421386719,25.4225215911865,30.9551124572754,39.4707145690918,30.6899127960205,44.1112480163574,32.8065567016602,36.5092430114746,35.8733901977539,37.2191963195801,25.5881862640381,42.0193328857422,24.0597114562988,35.4221382141113,36.3671493530273,27.5462589263916,40.4950828552246,38.8504028320312,42.0136108398438
2029,29.4306163787842,60.1137275695801,51.4000930786133,33.5824584960938,29.713228225708,20.9729595184326,27.4447994232178,22.2629871368408,24.0969104766846,37.4756278991699,44.5131645202637,36.5869522094727,23.3685665130615,29.0516834259033,33.0887985229492,40.2051582336426,20.6385307312012,32.9992256164551,25.221715927124,24.9348564147949,22.6392993927002,42.2184257507324,47.7779769897461
2030,40.2179985046387,46.4759063720703,42.1995544433594,49.6745643615723,42.4767189025879,34.9240379333496,45.0033340454102,35.8066864013672,51.3095092773438,23.4518623352051,40.5360107421875,38.6239814758301,49.9675750732422,27.2493019104004,43.1491203308105,49.1707954406738,43.0207939147949,67.7462768554688,35.3897323608398,54.0952644348145,48.77734375,33.2620124816895,66.350212097168
